dataset_name,model_name,observation,metric_params,BreakDown
hydraulic,IForest,1,"{""base_strategy"": ""mean""}",0.3045150178422743
hydraulic,IForest,13,"{""base_strategy"": ""mean""}",-0.8847756318793568
hydraulic,IForest,63,"{""base_strategy"": ""mean""}",-0.5695997905353836
hydraulic,IForest,78,"{""base_strategy"": ""mean""}",-0.4986761985571537
hydraulic,IForest,101,"{""base_strategy"": ""mean""}",-0.46939748616285076
hydraulic,IForest,102,"{""base_strategy"": ""mean""}",-0.45887859541364434
hydraulic,IForest,122,"{""base_strategy"": ""mean""}",-0.4403248515171338
hydraulic,IForest,162,"{""base_strategy"": ""mean""}",-0.42237367906400863
hydraulic,IForest,175,"{""base_strategy"": ""mean""}",-0.4281822502752926
hydraulic,IForest,309,"{""base_strategy"": ""mean""}",-0.5824341128858463
hydraulic,IForest,323,"{""base_strategy"": ""mean""}",-0.5984406273008192
hydraulic,IForest,334,"{""base_strategy"": ""mean""}",-0.5008408610065022
hydraulic,IForest,348,"{""base_strategy"": ""mean""}",0.4252267119838386
hydraulic,IForest,365,"{""base_strategy"": ""mean""}",0.49824451047258933
hydraulic,IForest,386,"{""base_strategy"": ""mean""}",-0.5510526188935211
hydraulic,IForest,415,"{""base_strategy"": ""mean""}",0.08925291988854453
hydraulic,IForest,523,"{""base_strategy"": ""mean""}",-0.5076166374822552
hydraulic,IForest,621,"{""base_strategy"": ""mean""}",0.9240777927016395
hydraulic,IForest,641,"{""base_strategy"": ""mean""}",-0.5719061577117781
hydraulic,IForest,686,"{""base_strategy"": ""mean""}",-0.5469300123671967
hydraulic,IForest,695,"{""base_strategy"": ""mean""}",-0.6379266508909106
hydraulic,IForest,699,"{""base_strategy"": ""mean""}",-0.5659132389004644
hydraulic,IForest,706,"{""base_strategy"": ""mean""}",-0.5597271475655037
hydraulic,IForest,718,"{""base_strategy"": ""mean""}",-0.5584039017551053
hydraulic,IForest,749,"{""base_strategy"": ""mean""}",-0.7854243063412528
hydraulic,IForest,782,"{""base_strategy"": ""mean""}",-0.753138244907827
hydraulic,IForest,844,"{""base_strategy"": ""mean""}",-0.8502186604005038
hydraulic,IForest,892,"{""base_strategy"": ""mean""}",-0.8429116078656809
hydraulic,IForest,901,"{""base_strategy"": ""mean""}",-0.8478073421470722
hydraulic,IForest,949,"{""base_strategy"": ""mean""}",-0.8376319105010712
hydraulic,IForest,966,"{""base_strategy"": ""mean""}",-0.6865796634781763
hydraulic,IForest,994,"{""base_strategy"": ""mean""}",-0.8187434200406197
hydraulic,IForest,996,"{""base_strategy"": ""mean""}",-0.8281271559366543
hydraulic,IForest,1015,"{""base_strategy"": ""mean""}",-0.8140921122400278
hydraulic,IForest,1052,"{""base_strategy"": ""mean""}",-0.8558142324313149
hydraulic,IForest,1139,"{""base_strategy"": ""mean""}",-0.8429635787387617
hydraulic,IForest,1291,"{""base_strategy"": ""mean""}",-0.7672453798686826
hydraulic,IForest,1295,"{""base_strategy"": ""mean""}",-0.775727973141832
hydraulic,IForest,1309,"{""base_strategy"": ""mean""}",-0.7482317835999608
hydraulic,IForest,1371,"{""base_strategy"": ""mean""}",-0.8166421523553921
hydraulic,IForest,1431,"{""base_strategy"": ""mean""}",-0.7892998126795118
hydraulic,IForest,1511,"{""base_strategy"": ""mean""}",0.04265621078946135
hydraulic,IForest,1521,"{""base_strategy"": ""mean""}",0.028267420912029863
hydraulic,IForest,1553,"{""base_strategy"": ""mean""}",-0.3344121390035934
hydraulic,IForest,1563,"{""base_strategy"": ""mean""}",0.0036064974159280747
hydraulic,IForest,1627,"{""base_strategy"": ""mean""}",-0.22816955662348723
hydraulic,IForest,1659,"{""base_strategy"": ""mean""}",-0.25102217681695216
hydraulic,IForest,1691,"{""base_strategy"": ""mean""}",0.23840385371296863
hydraulic,IForest,1704,"{""base_strategy"": ""mean""}",-0.28529366307863935
hydraulic,IForest,1708,"{""base_strategy"": ""mean""}",-0.5149488737227551
hydraulic,IForest,1776,"{""base_strategy"": ""mean""}",0.5235527311119144
hydraulic,IForest,1792,"{""base_strategy"": ""mean""}",0.47723552921384516
hydraulic,IForest,1861,"{""base_strategy"": ""mean""}",0.5721482400694927
hydraulic,IForest,1890,"{""base_strategy"": ""mean""}",0.3663371916022688
hydraulic,IForest,2074,"{""base_strategy"": ""mean""}",0.1252162079344989
hydraulic,IForest,2166,"{""base_strategy"": ""mean""}",-0.40454722936929155
hydraulic,IForest,2167,"{""base_strategy"": ""mean""}",-0.2694643163724871
hydraulic,IForest,2177,"{""base_strategy"": ""mean""}",-0.23888500958162195
