dataset_name,model_name,observation,metric_params,BreakDown,LIME,MAPLE,SHAP
hydraulic,IForest,1,"{""base_strategy"": ""mean""}",0.3045150178422743,0.736123182059672,0.8559000967064713,0.8069336346759113
hydraulic,IForest,13,"{""base_strategy"": ""mean""}",-0.8847756318793568,-0.8567841495171511,0.6426222986803659,-0.917489736586617
hydraulic,IForest,63,"{""base_strategy"": ""mean""}",-0.5695997905353836,-0.7886200330313173,0.533981702042467,-0.46825916073095514
hydraulic,IForest,78,"{""base_strategy"": ""mean""}",-0.4986761985571537,-0.8200472135901203,0.38076531479877135,-0.4698641329425677
hydraulic,IForest,101,"{""base_strategy"": ""mean""}",-0.46939748616285076,-0.799084837469496,0.4913059778128425,-0.4321884881207871
hydraulic,IForest,102,"{""base_strategy"": ""mean""}",-0.45887859541364434,-0.7309685731633241,0.22838055855070777,-0.4107848186159361
hydraulic,IForest,122,"{""base_strategy"": ""mean""}",-0.4403248515171338,-0.7236861849444802,0.11324978912884433,-0.5614622343869272
hydraulic,IForest,162,"{""base_strategy"": ""mean""}",-0.42237367906400863,-0.6754538741676939,0.17519384993722323,-0.5153539366434895
hydraulic,IForest,175,"{""base_strategy"": ""mean""}",-0.4281822502752926,-0.6735422093236095,0.021951360310106343,-0.5549759155401384
hydraulic,IForest,309,"{""base_strategy"": ""mean""}",-0.5824341128858463,-0.7028137123202425,0.5367409491909053,-0.6479520345665347
hydraulic,IForest,323,"{""base_strategy"": ""mean""}",-0.5984406273008192,0.7447140504326355,0.785980516352604,-0.8024079362647384
hydraulic,IForest,334,"{""base_strategy"": ""mean""}",-0.5008408610065022,-0.7524972247131416,0.8462708855389589,-0.6883010573699319
hydraulic,IForest,348,"{""base_strategy"": ""mean""}",0.4252267119838386,0.7637800709188634,0.5897011898441016,0.5214184152053029
hydraulic,IForest,365,"{""base_strategy"": ""mean""}",0.49824451047258933,0.9192637039491186,0.04648855301153653,0.8548094717653062
hydraulic,IForest,386,"{""base_strategy"": ""mean""}",-0.5510526188935211,-0.9828298732369246,-0.2365625935994479,-0.8137372228289825
hydraulic,IForest,415,"{""base_strategy"": ""mean""}",0.08925291988854453,-0.27672915926512515,0.007380970473095286,-0.4366687738734704
hydraulic,IForest,523,"{""base_strategy"": ""mean""}",-0.5076166374822552,-0.9525012300330605,0.8497003589341527,-0.8737407186000019
hydraulic,IForest,621,"{""base_strategy"": ""mean""}",0.9240777927016395,0.7482130178119961,0.006839531074345569,0.9881557484961353
hydraulic,IForest,641,"{""base_strategy"": ""mean""}",-0.5719061577117781,-0.9576719260013847,0.9086074384635654,-0.8366660877784544
