dataset_name,model_name,observation,metric_params,BreakDown,LIME
hydraulic,IForest,1,"{""base_strategy"": ""mean""}",0.3045150178422743,0.736123182059672
hydraulic,IForest,13,"{""base_strategy"": ""mean""}",-0.8847756318793568,-0.8567841495171511
hydraulic,IForest,63,"{""base_strategy"": ""mean""}",-0.5695997905353836,-0.7886200330313173
hydraulic,IForest,78,"{""base_strategy"": ""mean""}",-0.4986761985571537,-0.8200472135901203
hydraulic,IForest,101,"{""base_strategy"": ""mean""}",-0.46939748616285076,-0.799084837469496
hydraulic,IForest,102,"{""base_strategy"": ""mean""}",-0.45887859541364434,-0.7309685731633241
hydraulic,IForest,122,"{""base_strategy"": ""mean""}",-0.4403248515171338,-0.7236861849444802
hydraulic,IForest,162,"{""base_strategy"": ""mean""}",-0.42237367906400863,-0.6754538741676939
hydraulic,IForest,175,"{""base_strategy"": ""mean""}",-0.4281822502752926,-0.6735422093236095
hydraulic,IForest,309,"{""base_strategy"": ""mean""}",-0.5824341128858463,-0.7028137123202425
hydraulic,IForest,323,"{""base_strategy"": ""mean""}",-0.5984406273008192,0.7447140504326355
hydraulic,IForest,334,"{""base_strategy"": ""mean""}",-0.5008408610065022,-0.7524972247131416
hydraulic,IForest,348,"{""base_strategy"": ""mean""}",0.4252267119838386,0.7637800709188634
hydraulic,IForest,365,"{""base_strategy"": ""mean""}",0.49824451047258933,0.9192637039491186
hydraulic,IForest,386,"{""base_strategy"": ""mean""}",-0.5510526188935211,-0.9828298732369246
hydraulic,IForest,415,"{""base_strategy"": ""mean""}",0.08925291988854453,-0.27672915926512515
hydraulic,IForest,523,"{""base_strategy"": ""mean""}",-0.5076166374822552,-0.9525012300330605
hydraulic,IForest,621,"{""base_strategy"": ""mean""}",0.9240777927016395,0.7482130178119961
hydraulic,IForest,641,"{""base_strategy"": ""mean""}",-0.5719061577117781,-0.9576719260013847
hydraulic,IForest,686,"{""base_strategy"": ""mean""}",-0.5469300123671967,-0.9409798948377404
hydraulic,IForest,695,"{""base_strategy"": ""mean""}",-0.6379266508909106,-0.9640888563234583
hydraulic,IForest,699,"{""base_strategy"": ""mean""}",-0.5659132389004644,-0.9233195389515183
hydraulic,IForest,706,"{""base_strategy"": ""mean""}",-0.5597271475655037,-0.938742638498712
hydraulic,IForest,718,"{""base_strategy"": ""mean""}",-0.5584039017551053,-0.8978320277491149
hydraulic,IForest,749,"{""base_strategy"": ""mean""}",-0.7854243063412528,-0.8343006638390428
hydraulic,IForest,782,"{""base_strategy"": ""mean""}",-0.753138244907827,-0.9867515979933975
hydraulic,IForest,844,"{""base_strategy"": ""mean""}",-0.8502186604005038,-0.9763231950442413
hydraulic,IForest,892,"{""base_strategy"": ""mean""}",-0.8429116078656809,-0.9620778254097557
hydraulic,IForest,901,"{""base_strategy"": ""mean""}",-0.8478073421470722,-0.9798614319288016
hydraulic,IForest,949,"{""base_strategy"": ""mean""}",-0.8376319105010712,-0.864335277172569
