dataset_name,model_name,metric,metric_params,BreakDown
hydraulic,IForest,Complexity,"{""normalise"": true}",1.4618588343175816
hydraulic,IForest,Faithfulness,"{""base_strategy"": ""mean""}",-0.37796555027166556
hydraulic,IForest,Sparseness,"{""normalise"": true}",0.425344892268442
