dataset_name,model_name,observation,metric_params,BreakDown,LIME,MAPLE,SHAP
hydraulic,IForest,1659,"{""normalise"": true, ""nr_samples"": 200}",12.317403125665534,4.856155611006229,8.794158238839714,5.3175858431193115
hydraulic,IForest,1691,"{""normalise"": true, ""nr_samples"": 200}",6.82127878668162,4.852480096858566,5.876645673491517,4.705164256214986
hydraulic,IForest,1704,"{""normalise"": true, ""nr_samples"": 200}",6.8180928545643695,3.875014309525453,11.320157521070705,3.055967017613197
hydraulic,IForest,1708,"{""normalise"": true, ""nr_samples"": 200}",5.096606310287206,3.4554872969520227,5.963525640139945,4.2937307835613545
hydraulic,IForest,1776,"{""normalise"": true, ""nr_samples"": 200}",9.119073998893258,4.603456676909295,8.488747878838813,6.645361086190123
hydraulic,IForest,1792,"{""normalise"": true, ""nr_samples"": 200}",18.39646212107255,4.206186791874851,10.344444011110168,4.099831589658246
hydraulic,IForest,1861,"{""normalise"": true, ""nr_samples"": 200}",19.22718998591471,5.446018087178079,6.446264800443359,9.106386285706257
hydraulic,IForest,1890,"{""normalise"": true, ""nr_samples"": 200}",11.502528871289208,4.446386348467034,6.663499571033535,5.123940438753026
hydraulic,IForest,2074,"{""normalise"": true, ""nr_samples"": 200}",22.495551273347157,5.820418389488347,6.9402955195768925,4.878054034339041
hydraulic,IForest,2166,"{""normalise"": true, ""nr_samples"": 200}",5.210168452122332,5.213561284502609,5.733233875210861,5.066108038007735
hydraulic,IForest,2167,"{""normalise"": true, ""nr_samples"": 200}",7.19335033991441,4.293311310717043,11.329641638555135,3.1926428636214648
hydraulic,IForest,2177,"{""normalise"": true, ""nr_samples"": 200}",9.02091015081168,4.550533592372035,5.798004051723171,5.334269258410944
