dataset_name,model_name,observation,metric_params,BreakDown,LIME,MAPLE,SHAP
hydraulic,IForest,1,"{""normalise"": true}",1.3013662962412622,0.9053201692525663,1.2888763018472837,1.6894978592682601
hydraulic,IForest,13,"{""normalise"": true}",1.601563863564339,1.2629803106894195,1.519300649773944,1.5284164980548276
hydraulic,IForest,63,"{""normalise"": true}",1.4513213112172538,1.2134182226167773,1.3627075200266203,1.6139822097449208
hydraulic,IForest,78,"{""normalise"": true}",1.5138252609643637,1.3133099981000285,1.4087039497917064,1.5390600344844405
hydraulic,IForest,101,"{""normalise"": true}",1.5486191332933954,1.3289370497901394,1.4864015183307855,1.4444223531129716
hydraulic,IForest,102,"{""normalise"": true}",1.4466140418987217,1.3271820642494347,1.516114077251121,1.447254490066093
hydraulic,IForest,122,"{""normalise"": true}",1.5017398330947893,1.307247704345782,1.5137212862511424,1.4857193057310114
hydraulic,IForest,162,"{""normalise"": true}",1.4893358653009994,1.3756235725496802,1.4804745846758631,1.6550309971804138
hydraulic,IForest,175,"{""normalise"": true}",1.4887055951265122,1.326389877974637,1.5578617201647664,1.6357575094377919
hydraulic,IForest,309,"{""normalise"": true}",1.5489145836376523,1.225219121574224,1.3073650267944288,1.647948309030535
hydraulic,IForest,323,"{""normalise"": true}",1.37222236922142,1.3982409393689954,1.4684050546787975,1.4713616023825469
hydraulic,IForest,334,"{""normalise"": true}",1.6361618269024354,1.1950172846989604,0.6490094358253288,1.377299761306172
hydraulic,IForest,348,"{""normalise"": true}",1.254069528376195,1.6448534190191966,1.5145126478327293,1.6376434600928296
hydraulic,IForest,365,"{""normalise"": true}",1.4493780259142974,1.5129268829968898,1.3582007798418452,1.611606605381712
hydraulic,IForest,386,"{""normalise"": true}",1.583390886443016,1.4850335922162334,1.5299063076963852,1.6849726014279491
hydraulic,IForest,415,"{""normalise"": true}",1.437754138570314,1.6400827592517373,1.3737240927738221,1.6036632676230305
hydraulic,IForest,523,"{""normalise"": true}",1.6296552398893627,1.5197594336235813,0.8331087446887595,1.7143887928993093
hydraulic,IForest,621,"{""normalise"": true}",1.4385707159387877,1.5317355449284038,1.5027420234644728,1.5115247337006028
hydraulic,IForest,641,"{""normalise"": true}",1.596023279145628,1.5186667877105786,0.4934698712753015,1.7092360666977124
hydraulic,IForest,686,"{""normalise"": true}",1.6457162127187077,1.4757383753418136,1.3762498320835843,1.7238105670237052
hydraulic,IForest,695,"{""normalise"": true}",1.6601721899911583,1.1224870710647061,1.3928440325545342,1.626713489681017
hydraulic,IForest,699,"{""normalise"": true}",1.662210525287866,1.2771301526759447,1.4484275885024163,1.5919356794223076
hydraulic,IForest,706,"{""normalise"": true}",1.6599055316333087,1.2181355183881184,1.2618085081696402,1.5969440959054038
hydraulic,IForest,718,"{""normalise"": true}",1.4595348304046944,1.230638711139115,1.0965888700325008,1.497959815182276
hydraulic,IForest,749,"{""normalise"": true}",1.4909729760649004,1.239696725369575,0.7987342911660089,1.613897543060877
hydraulic,IForest,782,"{""normalise"": true}",1.539060834983437,1.4672572628399083,0.9579631712697564,1.6922331388843819
hydraulic,IForest,844,"{""normalise"": true}",1.4710410110411034,1.4255983729000963,1.190861989603228,1.7395555316593405
