dataset_name,model_name,observation,metric_params,BreakDown,LIME
hydraulic,IForest,1,"{""normalise"": true}",1.3013662962412622,0.9053201692525663
hydraulic,IForest,13,"{""normalise"": true}",1.601563863564339,1.2629803106894195
hydraulic,IForest,63,"{""normalise"": true}",1.4513213112172538,1.2134182226167773
hydraulic,IForest,78,"{""normalise"": true}",1.5138252609643637,1.3133099981000285
hydraulic,IForest,101,"{""normalise"": true}",1.5486191332933954,1.3289370497901394
hydraulic,IForest,102,"{""normalise"": true}",1.4466140418987217,1.3271820642494347
hydraulic,IForest,122,"{""normalise"": true}",1.5017398330947893,1.307247704345782
hydraulic,IForest,162,"{""normalise"": true}",1.4893358653009994,1.3756235725496802
hydraulic,IForest,175,"{""normalise"": true}",1.4887055951265122,1.326389877974637
hydraulic,IForest,309,"{""normalise"": true}",1.5489145836376523,1.225219121574224
hydraulic,IForest,323,"{""normalise"": true}",1.37222236922142,1.3982409393689954
hydraulic,IForest,334,"{""normalise"": true}",1.6361618269024354,1.1950172846989604
hydraulic,IForest,348,"{""normalise"": true}",1.254069528376195,1.6448534190191966
hydraulic,IForest,365,"{""normalise"": true}",1.4493780259142974,1.5129268829968898
hydraulic,IForest,386,"{""normalise"": true}",1.583390886443016,1.4850335922162334
hydraulic,IForest,415,"{""normalise"": true}",1.437754138570314,1.6400827592517373
hydraulic,IForest,523,"{""normalise"": true}",1.6296552398893627,1.5197594336235813
hydraulic,IForest,621,"{""normalise"": true}",1.4385707159387877,1.5317355449284038
hydraulic,IForest,641,"{""normalise"": true}",1.596023279145628,1.5186667877105786
hydraulic,IForest,686,"{""normalise"": true}",1.6457162127187077,1.4757383753418136
hydraulic,IForest,695,"{""normalise"": true}",1.6601721899911583,1.1224870710647061
hydraulic,IForest,699,"{""normalise"": true}",1.662210525287866,1.2771301526759447
hydraulic,IForest,706,"{""normalise"": true}",1.6599055316333087,1.2181355183881184
hydraulic,IForest,718,"{""normalise"": true}",1.4595348304046944,1.230638711139115
hydraulic,IForest,749,"{""normalise"": true}",1.4909729760649004,1.239696725369575
hydraulic,IForest,782,"{""normalise"": true}",1.539060834983437,1.4672572628399083
hydraulic,IForest,844,"{""normalise"": true}",1.4710410110411034,1.4255983729000963
hydraulic,IForest,892,"{""normalise"": true}",1.507034997121779,1.456419826398258
hydraulic,IForest,901,"{""normalise"": true}",1.3942134516025635,1.3802853605445733
hydraulic,IForest,949,"{""normalise"": true}",1.4586702444883395,1.4489016004300672
hydraulic,IForest,966,"{""normalise"": true}",1.4570271591584842,1.4427714177022755
hydraulic,IForest,994,"{""normalise"": true}",1.487235543704134,1.5521761304615893
hydraulic,IForest,996,"{""normalise"": true}",1.4831406052839071,1.5450326600117898
hydraulic,IForest,1015,"{""normalise"": true}",1.4433449197539499,1.5741532918472272
hydraulic,IForest,1052,"{""normalise"": true}",1.4231560804015824,1.5058806259424995
hydraulic,IForest,1139,"{""normalise"": true}",1.366170061549746,1.4645658464893765
hydraulic,IForest,1291,"{""normalise"": true}",1.5813729542689663,1.1607392483577372
hydraulic,IForest,1295,"{""normalise"": true}",1.5806057816979187,1.2256416909683459
hydraulic,IForest,1309,"{""normalise"": true}",1.5768799903965973,1.1812248426135417
hydraulic,IForest,1371,"{""normalise"": true}",1.4443290116361147,1.2671563432129473
hydraulic,IForest,1431,"{""normalise"": true}",1.5765089108353947,1.1047723429326242
hydraulic,IForest,1511,"{""normalise"": true}",1.553976293685778,1.3606584454167863
hydraulic,IForest,1521,"{""normalise"": true}",1.538239843766709,1.4754811943060486
hydraulic,IForest,1553,"{""normalise"": true}",1.3885312888721124,1.2795342409531114
hydraulic,IForest,1563,"{""normalise"": true}",1.51131361809644,1.5180798670186837
hydraulic,IForest,1627,"{""normalise"": true}",1.429327242790926,1.3866417830524485
hydraulic,IForest,1659,"{""normalise"": true}",1.3592405118856163,1.141410000820982
hydraulic,IForest,1691,"{""normalise"": true}",1.4065548937876857,1.2593430057581019
hydraulic,IForest,1704,"{""normalise"": true}",1.2456230060971252,1.2208279745400514
hydraulic,IForest,1708,"{""normalise"": true}",1.1712223369874089,1.1102570754928822
hydraulic,IForest,1776,"{""normalise"": true}",1.4012810189129468,1.0785282067762032
hydraulic,IForest,1792,"{""normalise"": true}",1.2511469277717202,0.6417231684196959
hydraulic,IForest,1861,"{""normalise"": true}",1.36501337123153,0.946061253316304
hydraulic,IForest,1890,"{""normalise"": true}",1.3492477245487016,1.1908527616286066
hydraulic,IForest,2074,"{""normalise"": true}",1.3241576550512275,1.2185959873443395
hydraulic,IForest,2166,"{""normalise"": true}",1.3451238124735914,1.2660201091819971
hydraulic,IForest,2167,"{""normalise"": true}",1.1617755570842032,1.2516133296383938
hydraulic,IForest,2177,"{""normalise"": true}",1.3285016686106135,1.144714167573569
