dataset_name,model_name,observation,metric_params,BreakDown,LIME
hydraulic,IForest,1,"{""normalise"": true}",0.5279751626126999,0.6553071861380181
hydraulic,IForest,13,"{""normalise"": true}",0.33683881964246337,0.5110803703242818
hydraulic,IForest,63,"{""normalise"": true}",0.4290893205064415,0.5603270454574935
hydraulic,IForest,78,"{""normalise"": true}",0.39975498448202335,0.5156240409038269
hydraulic,IForest,101,"{""normalise"": true}",0.37715992677585525,0.512568335122612
hydraulic,IForest,102,"{""normalise"": true}",0.4304819334605189,0.5098985865020202
hydraulic,IForest,122,"{""normalise"": true}",0.40129906039739965,0.5218227855348596
hydraulic,IForest,162,"{""normalise"": true}",0.41808512852553603,0.48841505700808896
hydraulic,IForest,175,"{""normalise"": true}",0.4198557068738647,0.5090058908705405
hydraulic,IForest,309,"{""normalise"": true}",0.3839703895512067,0.5541993715482642
hydraulic,IForest,323,"{""normalise"": true}",0.46777624177854493,0.4305991283280146
hydraulic,IForest,334,"{""normalise"": true}",0.2998040046261629,0.5715271595738256
hydraulic,IForest,348,"{""normalise"": true}",0.5455624399780538,0.2449979839326449
hydraulic,IForest,365,"{""normalise"": true}",0.44203677420172666,0.37549263068566324
hydraulic,IForest,386,"{""normalise"": true}",0.3444252508303428,0.3940277191443956
hydraulic,IForest,415,"{""normalise"": true}",0.45159415474642106,0.2375760216832837
hydraulic,IForest,523,"{""normalise"": true}",0.30135828754428184,0.37454495374848945
hydraulic,IForest,621,"{""normalise"": true}",0.45820201337723326,0.362592445795097
hydraulic,IForest,641,"{""normalise"": true}",0.3160984374009022,0.37412967688396637
hydraulic,IForest,686,"{""normalise"": true}",0.298151290372451,0.402008329102235
hydraulic,IForest,695,"{""normalise"": true}",0.28371900220940527,0.6038429549189622
hydraulic,IForest,699,"{""normalise"": true}",0.2825395801375192,0.5354524875189647
hydraulic,IForest,706,"{""normalise"": true}",0.2837199833992292,0.5544960674382279
hydraulic,IForest,718,"{""normalise"": true}",0.4259191051668588,0.5576227662876895
hydraulic,IForest,749,"{""normalise"": true}",0.4216296189734802,0.5545024132272628
hydraulic,IForest,782,"{""normalise"": true}",0.39047027961543007,0.40165065516570164
hydraulic,IForest,844,"{""normalise"": true}",0.4364049402197021,0.42574429090514154
hydraulic,IForest,892,"{""normalise"": true}",0.41399976996389887,0.40411679828225794
hydraulic,IForest,901,"{""normalise"": true}",0.48353988059350433,0.45265178173994997
hydraulic,IForest,949,"{""normalise"": true}",0.4233989203510197,0.4360729738397817
hydraulic,IForest,966,"{""normalise"": true}",0.4282780366288355,0.4380882388297251
hydraulic,IForest,994,"{""normalise"": true}",0.41550736546700223,0.34892655566369457
hydraulic,IForest,996,"{""normalise"": true}",0.42456121483807047,0.35747642805166296
hydraulic,IForest,1015,"{""normalise"": true}",0.4547227589752732,0.3417709641057473
hydraulic,IForest,1052,"{""normalise"": true}",0.46113718257436687,0.3795243182781799
hydraulic,IForest,1139,"{""normalise"": true}",0.4956726454291632,0.4192926465411381
hydraulic,IForest,1291,"{""normalise"": true}",0.3538372563004303,0.5751137776284777
hydraulic,IForest,1295,"{""normalise"": true}",0.349933245029,0.5406095191748771
hydraulic,IForest,1309,"{""normalise"": true}",0.3563317239163963,0.5758201448859231
hydraulic,IForest,1371,"{""normalise"": true}",0.4556080589313397,0.5211178486351539
hydraulic,IForest,1431,"{""normalise"": true}",0.3523204232831619,0.5965353443702763
hydraulic,IForest,1511,"{""normalise"": true}",0.37954790125538845,0.49130860258132614
hydraulic,IForest,1521,"{""normalise"": true}",0.39226952579591357,0.4045685706257008
hydraulic,IForest,1553,"{""normalise"": true}",0.4721419486886127,0.5349404976117734
hydraulic,IForest,1563,"{""normalise"": true}",0.3959313808059671,0.3966615044669172
hydraulic,IForest,1627,"{""normalise"": true}",0.4500254752321902,0.48210055856894485
hydraulic,IForest,1659,"{""normalise"": true}",0.48287003641045384,0.5995660649615606
hydraulic,IForest,1691,"{""normalise"": true}",0.44978795829964763,0.522046552386629
hydraulic,IForest,1704,"{""normalise"": true}",0.5354746626002758,0.541572652346922
hydraulic,IForest,1708,"{""normalise"": true}",0.5706060163786606,0.5939182547456966
hydraulic,IForest,1776,"{""normalise"": true}",0.4704670840865335,0.6246099377915136
hydraulic,IForest,1792,"{""normalise"": true}",0.5562396016993957,0.7238013086366047
hydraulic,IForest,1861,"{""normalise"": true}",0.48057588146338964,0.6625971053855053
hydraulic,IForest,1890,"{""normalise"": true}",0.4990931041427576,0.5788829259838254
hydraulic,IForest,2074,"{""normalise"": true}",0.5152199152517716,0.5469899430982325
hydraulic,IForest,2166,"{""normalise"": true}",0.4872041719719355,0.5407584533990396
hydraulic,IForest,2167,"{""normalise"": true}",0.5857889285292498,0.5406812691479548
hydraulic,IForest,2177,"{""normalise"": true}",0.503989839270279,0.5987823784077431
