dataset_name,model_name,observation,metric_params,BreakDown
hydraulic,IForest,1,"{""normalise"": true}",0.5279751626126999
hydraulic,IForest,13,"{""normalise"": true}",0.33683881964246337
hydraulic,IForest,63,"{""normalise"": true}",0.4290893205064415
hydraulic,IForest,78,"{""normalise"": true}",0.39975498448202335
hydraulic,IForest,101,"{""normalise"": true}",0.37715992677585525
hydraulic,IForest,102,"{""normalise"": true}",0.4304819334605189
hydraulic,IForest,122,"{""normalise"": true}",0.40129906039739965
hydraulic,IForest,162,"{""normalise"": true}",0.41808512852553603
hydraulic,IForest,175,"{""normalise"": true}",0.4198557068738647
hydraulic,IForest,309,"{""normalise"": true}",0.3839703895512067
hydraulic,IForest,323,"{""normalise"": true}",0.46777624177854493
hydraulic,IForest,334,"{""normalise"": true}",0.2998040046261629
hydraulic,IForest,348,"{""normalise"": true}",0.5455624399780538
hydraulic,IForest,365,"{""normalise"": true}",0.44203677420172666
hydraulic,IForest,386,"{""normalise"": true}",0.3444252508303428
hydraulic,IForest,415,"{""normalise"": true}",0.45159415474642106
hydraulic,IForest,523,"{""normalise"": true}",0.30135828754428184
hydraulic,IForest,621,"{""normalise"": true}",0.45820201337723326
hydraulic,IForest,641,"{""normalise"": true}",0.3160984374009022
hydraulic,IForest,686,"{""normalise"": true}",0.298151290372451
hydraulic,IForest,695,"{""normalise"": true}",0.28371900220940527
hydraulic,IForest,699,"{""normalise"": true}",0.2825395801375192
hydraulic,IForest,706,"{""normalise"": true}",0.2837199833992292
hydraulic,IForest,718,"{""normalise"": true}",0.4259191051668588
hydraulic,IForest,749,"{""normalise"": true}",0.4216296189734802
hydraulic,IForest,782,"{""normalise"": true}",0.39047027961543007
hydraulic,IForest,844,"{""normalise"": true}",0.4364049402197021
hydraulic,IForest,892,"{""normalise"": true}",0.41399976996389887
hydraulic,IForest,901,"{""normalise"": true}",0.48353988059350433
hydraulic,IForest,949,"{""normalise"": true}",0.4233989203510197
hydraulic,IForest,966,"{""normalise"": true}",0.4282780366288355
hydraulic,IForest,994,"{""normalise"": true}",0.41550736546700223
hydraulic,IForest,996,"{""normalise"": true}",0.42456121483807047
hydraulic,IForest,1015,"{""normalise"": true}",0.4547227589752732
hydraulic,IForest,1052,"{""normalise"": true}",0.46113718257436687
hydraulic,IForest,1139,"{""normalise"": true}",0.4956726454291632
hydraulic,IForest,1291,"{""normalise"": true}",0.3538372563004303
hydraulic,IForest,1295,"{""normalise"": true}",0.349933245029
hydraulic,IForest,1309,"{""normalise"": true}",0.3563317239163963
hydraulic,IForest,1371,"{""normalise"": true}",0.4556080589313397
hydraulic,IForest,1431,"{""normalise"": true}",0.3523204232831619
hydraulic,IForest,1511,"{""normalise"": true}",0.37954790125538845
hydraulic,IForest,1521,"{""normalise"": true}",0.39226952579591357
hydraulic,IForest,1553,"{""normalise"": true}",0.4721419486886127
hydraulic,IForest,1563,"{""normalise"": true}",0.3959313808059671
hydraulic,IForest,1627,"{""normalise"": true}",0.4500254752321902
hydraulic,IForest,1659,"{""normalise"": true}",0.48287003641045384
hydraulic,IForest,1691,"{""normalise"": true}",0.44978795829964763
hydraulic,IForest,1704,"{""normalise"": true}",0.5354746626002758
hydraulic,IForest,1708,"{""normalise"": true}",0.5706060163786606
hydraulic,IForest,1776,"{""normalise"": true}",0.4704670840865335
hydraulic,IForest,1792,"{""normalise"": true}",0.5562396016993957
hydraulic,IForest,1861,"{""normalise"": true}",0.48057588146338964
hydraulic,IForest,1890,"{""normalise"": true}",0.4990931041427576
hydraulic,IForest,2074,"{""normalise"": true}",0.5152199152517716
hydraulic,IForest,2166,"{""normalise"": true}",0.4872041719719355
hydraulic,IForest,2167,"{""normalise"": true}",0.5857889285292498
hydraulic,IForest,2177,"{""normalise"": true}",0.503989839270279
